"ID_obs";"Genus";"Species";"Sub.species";"Latitude";"Longitude";"M.mimicry";"F.mimicry";"Country"
1;"Aeria";"elara";"elara";10,174;-68;"EURIMEDIA";"EURIMEDIA";"Venezuela"
2;"Aeria";"elara";"elara";9,3;-69,45;"EURIMEDIA";"EURIMEDIA";"Venezuela"
3;"Aeria";"elara";"elara";8,067;-70,72;"EURIMEDIA";"EURIMEDIA";"Venezuela"
4;"Aeria";"elara";"elara";10,383;-68,02;"EURIMEDIA";"EURIMEDIA";"Venezuela"
5;"Aeria";"elara";"elara";10,467;-68,02;"EURIMEDIA";"EURIMEDIA";"Venezuela"
6;"Aeria";"elara";"elara";10,433;-68,02;"EURIMEDIA";"EURIMEDIA";"Venezuela"
7;"Aeria";"elara";"elara";10,1;-67,7;"EURIMEDIA";"EURIMEDIA";"Venezuela"
8;"Aeria";"elara";"elara";10,5;-66,92;"EURIMEDIA";"EURIMEDIA";"Venezuela"
9;"Aeria";"elara";"elarina";-2,417;-46,03;"EURIMEDIA";"EURIMEDIA";"Brazil"
10;"Aeria";"elara";"elarina";-1,05;-46,78;"EURIMEDIA";"EURIMEDIA";"Brazil"
11;"Aeria";"elara";"elarina";4,05;-59,3;"EURIMEDIA";"EURIMEDIA";"Guyana"
12;"Aeria";"elara";"n. ssp. [1]";-14,567;-68,73;"EURIMEDIA";"EURIMEDIA";"Bolivia"
13;"Aeria";"elara";"n. ssp. [1]";-12,28;-68,53;"EURIMEDIA";"EURIMEDIA";"Bolivia"
14;"Aeria";"elara";"n. ssp. [1]";-14,594;-61,18;"EURIMEDIA";"EURIMEDIA";"Bolivia"
15;"Aeria";"elara";"n. ssp. [1]";-13,6;-60,91;"EURIMEDIA";"EURIMEDIA";"Bolivia"
16;"Aeria";"elara";"n. ssp. [1]";-13,551;-61,32;"EURIMEDIA";"EURIMEDIA";"Bolivia"
17;"Aeria";"elara";"n. ssp. [1]";-14,558;-61,93;"EURIMEDIA";"EURIMEDIA";"Bolivia"
18;"Aeria";"elara";"n. ssp. [1]";-17,65;-63,72;"EURIMEDIA";"EURIMEDIA";"Bolivia"
19;"Aeria";"elara";"n. ssp. [1]";-17,063;-64,3;"EURIMEDIA";"EURIMEDIA";"Bolivia"
20;"Aeria";"elara";"n. ssp. [1]";-17,833;-63,42;"EURIMEDIA";"EURIMEDIA";"Bolivia"
21;"Aeria";"elara";"n. ssp. [1]";-16,4;-64,42;"EURIMEDIA";"EURIMEDIA";"Bolivia"
22;"Aeria";"elara";"n. ssp. [1]";-17,717;-64,27;"EURIMEDIA";"EURIMEDIA";"Bolivia"
23;"Aeria";"elara";"n. ssp. [1]";-14,733;-62,78;"EURIMEDIA";"EURIMEDIA";"Bolivia"
24;"Aeria";"elara";"n. ssp. [1]";-13,709;-60,74;"EURIMEDIA";"EURIMEDIA";"Bolivia"
25;"Aeria";"elara";"n. ssp. [1]";-16,675;-63,09;"EURIMEDIA";"EURIMEDIA";"Bolivia"
26;"Aeria";"elara";"n. ssp. [1]";-16,033;-48,13;"EURIMEDIA";"EURIMEDIA";"Brazil"
27;"Aeria";"elara";"n. ssp. [1]";-16,667;-49,25;"EURIMEDIA";"EURIMEDIA";"Brazil"
28;"Aeria";"elara";"n. ssp. [1]";-15,917;-50,12;"EURIMEDIA";"EURIMEDIA";"Brazil"
