Genus;Species;Sub.species;M.mimicry;F.mimicry;Sexual_Dimorphism;Subtribe
Aeria;elara;elara;EURIMEDIA;EURIMEDIA;FALSE;Tithoreina
Aeria;elara;elarina;EURIMEDIA;EURIMEDIA;FALSE;Tithoreina
Aeria;elara;n. ssp. [1];EURIMEDIA;EURIMEDIA;FALSE;Tithoreina
Aeria;elara;n. ssp. [3];EURIMEDIA;EURIMEDIA;FALSE;Tithoreina
Aeria;eurimedia;agna;EURIMEDIA;EURIMEDIA;FALSE;Tithoreina
Aeria;eurimedia;eurimedia;EURIMEDIA;EURIMEDIA;FALSE;Tithoreina
Aeria;eurimedia;latistriga;EURIMEDIA;EURIMEDIA;FALSE;Tithoreina
Aeria;eurimedia;n. ssp.;EURIMEDIA;EURIMEDIA;FALSE;Tithoreina
Aeria;eurimedia;negricola;EURIMEDIA;EURIMEDIA;FALSE;Tithoreina
Aeria;eurimedia;pacifica;EURIMEDIA;EURIMEDIA;FALSE;Tithoreina
Aeria;eurimedia;sisenna;EURIMEDIA;EURIMEDIA;FALSE;Tithoreina
Aeria;olena;n. ssp. [1];EURIMEDIA;EURIMEDIA;FALSE;Tithoreina
Aeria;olena;olena;EURIMEDIA;EURIMEDIA;FALSE;Tithoreina
Aremfoxia;ferra;ferra;MESTRA;MESTRA;FALSE;Napeogenina
Aremfoxia;ferra;thyridiana;CONFUSA;CONFUSA;FALSE;Napeogenina
Athesis;acrisione;acrisione;ACRISIONE;ACRISIONE;FALSE;Athesitina
Athesis;acrisione;deflavata;CONFUSA;CONFUSA;FALSE;Athesitina
Athesis;clearista;;DILUCIDA;DILUCIDA;FALSE;Athesitina
Athesis;clearista;colombiensis;DILUCIDA;DILUCIDA;FALSE;Athesitina
Athesis;vitrala;;HEWITSONI;HEWITSONI;FALSE;Athesitina
Athyrtis;mechanitis;mechanitis;HERMIAS;HERMIAS;FALSE;Melinaeina
Athyrtis;mechanitis;oberthueri;HERMIAS;HERMIAS;FALSE;Melinaeina
Athyrtis;mechanitis;salvini;ORESTES;ORESTES;FALSE;Melinaeina
Brevioleria;aelia;aelia;ILLINISSA;ILLINISSA;FALSE;Godyridina
Brevioleria;aelia;brevicula;LERIDA;LERIDA;FALSE;Godyridina
Brevioleria;aelia;jamariensis;LERIDA;LERIDA;FALSE;Godyridina
Brevioleria;aelia;oncidia;AURELIANA;AURELIANA;FALSE;Godyridina
Brevioleria;aelia;orolina;AURELIANA;AURELIANA;FALSE;Godyridina
Brevioleria;aelia;pachiteae;LERIDA;LERIDA;FALSE;Godyridina
Brevioleria;aelia;yawara;SINILIA;SINILIA;FALSE;Godyridina
Brevioleria;arzalia;arzalia;AGNOSIA;AGNOSIA;FALSE;Godyridina
Brevioleria;arzalia;n. ssp. [1];AURELIANA;AURELIANA;FALSE;Godyridina
Brevioleria;arzalia;n. ssp. [2];AURELIANA;AURELIANA;FALSE;Godyridina
Brevioleria;coenina;;OZIA;OZIA;FALSE;Godyridina
Brevioleria;seba;emyra;LERIDA;LERIDA;FALSE;Godyridina
Brevioleria;seba;n. ssp. [1];LERIDA;LERIDA;FALSE;Godyridina
Brevioleria;seba;n. ssp. [2];AGNOSIA;AGNOSIA;FALSE;Godyridina
Brevioleria;seba;n. ssp. [3];AGNOSIA;AGNOSIA;FALSE;Godyridina
Brevioleria;seba;n. ssp. [4];LERIDA;LERIDA;FALSE;Godyridina
Brevioleria;seba;n. ssp. [5];LERIDA;LERIDA;FALSE;Godyridina
Brevioleria;seba;oculata;AURELIANA;AURELIANA;FALSE;Godyridina
