"ID_obs";"Genus";"Species";"Latitude";"Longitude";"M.mimicry";"F.mimicry";"Country"
1;"Aeria";"elara";10,125;-68,125;"EURIMEDIA";"EURIMEDIA";"Venezuela"
2;"Aeria";"elara";9,375;-69,375;"EURIMEDIA";"EURIMEDIA";"Venezuela"
3;"Aeria";"elara";8,125;-70,625;"EURIMEDIA";"EURIMEDIA";"Venezuela"
4;"Aeria";"elara";10,375;-68,125;"EURIMEDIA";"EURIMEDIA";"Venezuela"
7;"Aeria";"elara";10,125;-67,625;"EURIMEDIA";"EURIMEDIA";"Venezuela"
8;"Aeria";"elara";10,375;-66,875;"EURIMEDIA";"EURIMEDIA";"Venezuela"
9;"Aeria";"elara";-2,375;-46,125;"EURIMEDIA";"EURIMEDIA";"Brazil"
10;"Aeria";"elara";-1,125;-46,875;"EURIMEDIA";"EURIMEDIA";"Brazil"
11;"Aeria";"elara";4,125;-59,375;"EURIMEDIA";"EURIMEDIA";"Guyana"
12;"Aeria";"elara";-14,625;-68,625;"EURIMEDIA";"EURIMEDIA";"Bolivia"
13;"Aeria";"elara";-12,375;-68,625;"EURIMEDIA";"EURIMEDIA";"Bolivia"
14;"Aeria";"elara";-14,625;-61,125;"EURIMEDIA";"EURIMEDIA";"Bolivia"
15;"Aeria";"elara";-13,625;-60,875;"EURIMEDIA";"EURIMEDIA";"Bolivia"
16;"Aeria";"elara";-13,625;-61,375;"EURIMEDIA";"EURIMEDIA";"Bolivia"
17;"Aeria";"elara";-14,625;-61,875;"EURIMEDIA";"EURIMEDIA";"Bolivia"
18;"Aeria";"elara";-17,625;-63,625;"EURIMEDIA";"EURIMEDIA";"Bolivia"
19;"Aeria";"elara";-17,125;-64,375;"EURIMEDIA";"EURIMEDIA";"Bolivia"
20;"Aeria";"elara";-17,875;-63,375;"EURIMEDIA";"EURIMEDIA";"Bolivia"
21;"Aeria";"elara";-16,375;-64,375;"EURIMEDIA";"EURIMEDIA";"Bolivia"
22;"Aeria";"elara";-17,625;-64,375;"EURIMEDIA";"EURIMEDIA";"Bolivia"
23;"Aeria";"elara";-14,625;-62,875;"EURIMEDIA";"EURIMEDIA";"Bolivia"
24;"Aeria";"elara";-13,625;-60,625;"EURIMEDIA";"EURIMEDIA";"Bolivia"
25;"Aeria";"elara";-16,625;-63,125;"EURIMEDIA";"EURIMEDIA";"Bolivia"
26;"Aeria";"elara";-16,125;-48,125;"EURIMEDIA";"EURIMEDIA";"Brazil"
27;"Aeria";"elara";-16,625;-49,375;"EURIMEDIA";"EURIMEDIA";"Brazil"
28;"Aeria";"elara";-15,875;-50,125;"EURIMEDIA";"EURIMEDIA";"Brazil"
29;"Aeria";"elara";-14,625;-49,375;"EURIMEDIA";"EURIMEDIA";"Brazil"
30;"Aeria";"elara";-15,375;-55,875;"EURIMEDIA";"EURIMEDIA";"Brazil"
32;"Aeria";"elara";-10,375;-62,875;"EURIMEDIA";"EURIMEDIA";"Brazil"
34;"Aeria";"elara";-10,625;-62,875;"EURIMEDIA";"EURIMEDIA";"Brazil"
35;"Aeria";"elara";-10,375;-62,625;"EURIMEDIA";"EURIMEDIA";"Brazil"
36;"Aeria";"elara";-12,625;-69,125;"EURIMEDIA";"EURIMEDIA";"Peru"
37;"Aeria";"elara";9,125;-73,875;"EURIMEDIA";"EURIMEDIA";"Colombia"
38;"Aeria";"elara";11,125;-74,125;"EURIMEDIA";"EURIMEDIA";"Colombia"
39;"Aeria";"eurimedia";6,875;-76,125;"EURIMEDIA";"EURIMEDIA";"Colombia"
40;"Aeria";"eurimedia";7,125;-75,375;"EURIMEDIA";"EURIMEDIA";"Colombia"
41;"Aeria";"eurimedia";5,625;-74,125;"EURIMEDIA";"EURIMEDIA";"Colombia"
42;"Aeria";"eurimedia";1,625;-75,875;"EURIMEDIA";"EURIMEDIA";"Colombia"
43;"Aeria";"eurimedia";4,875;-76,375;"EURIMEDIA";"EURIMEDIA";"Colombia"
44;"Aeria";"eurimedia";5,375;-74,375;"EURIMEDIA";"EURIMEDIA";"Colombia"
45;"Aeria";"eurimedia";5,625;-74,375;"EURIMEDIA";"EURIMEDIA";"Colombia"
47;"Aeria";"eurimedia";10,375;-73,125;"EURIMEDIA";"EURIMEDIA";"Colombia"
48;"Aeria";"eurimedia";3,625;-73,625;"EURIMEDIA";"EURIMEDIA";"Colombia"
49;"Aeria";"eurimedia";4,125;-73,625;"EURIMEDIA";"EURIMEDIA";"Colombia"
50;"Aeria";"eurimedia";3,875;-76,625;"EURIMEDIA";"EURIMEDIA";"Colombia"
51;"Aeria";"eurimedia";3,625;-76,625;"EURIMEDIA";"EURIMEDIA";"Colombia"
52;"Aeria";"eurimedia";9,875;-83,875;"EURIMEDIA";"EURIMEDIA";"Costa Rica"
53;"Aeria";"eurimedia";9,875;-83,625;"EURIMEDIA";"EURIMEDIA";"Costa Rica"
54;"Aeria";"eurimedia";10,375;-84,125;"EURIMEDIA";"EURIMEDIA";"Costa Rica"
55;"Aeria";"eurimedia";10,375;-83,375;"EURIMEDIA";"EURIMEDIA";"Costa Rica"
56;"Aeria";"eurimedia";9,625;-82,875;"EURIMEDIA";"EURIMEDIA";"Costa Rica"
57;"Aeria";"eurimedia";10,125;-83,875;"EURIMEDIA";"EURIMEDIA";"Costa Rica"
58;"Aeria";"eurimedia";9,875;-83,125;"EURIMEDIA";"EURIMEDIA";"Costa Rica"
59;"Aeria";"eurimedia";9,875;-82,875;"EURIMEDIA";"EURIMEDIA";"Costa Rica"
60;"Aeria";"eurimedia";9,125;-83,375;"EURIMEDIA";"EURIMEDIA";"Costa Rica"
61;"Aeria";"eurimedia";9,625;-84,375;"EURIMEDIA";"EURIMEDIA";"Costa Rica"
62;"Aeria";"eurimedia";14,625;-84,625;"EURIMEDIA";"EURIMEDIA";"Nicaragua"
63;"Aeria";"eurimedia";12,375;-85,125;"EURIMEDIA";"EURIMEDIA";"Nicaragua"
64;"Aeria";"eurimedia";13,125;-85,875;"EURIMEDIA";"EURIMEDIA";"Nicaragua"
65;"Aeria";"eurimedia";8,625;-81,875;"EURIMEDIA";"EURIMEDIA";"Panama"
66;"Aeria";"eurimedia";8,625;-82,625;"EURIMEDIA";"EURIMEDIA";"Panama"
67;"Aeria";"eurimedia";8,375;-82,375;"EURIMEDIA";"EURIMEDIA";"Panama"
68;"Aeria";"eurimedia";8,125;-81,625;"EURIMEDIA";"EURIMEDIA";"Panama"
69;"Aeria";"eurimedia";9,375;-79,875;"EURIMEDIA";"EURIMEDIA";"Panama"
71;"Aeria";"eurimedia";9,125;-79,625;"EURIMEDIA";"EURIMEDIA";"Panama"
72;"Aeria";"eurimedia";9,375;-80,125;"EURIMEDIA";"EURIMEDIA";"Panama"
73;"Aeria";"eurimedia";9,375;-79,625;"EURIMEDIA";"EURIMEDIA";"Panama"
74;"Aeria";"eurimedia";7,875;-77,625;"EURIMEDIA";"EURIMEDIA";"Panama"
75;"Aeria";"eurimedia";8,875;-79,625;"EURIMEDIA";"EURIMEDIA";"Panama"
77;"Aeria";"eurimedia";8,375;-80,875;"EURIMEDIA";"EURIMEDIA";"Panama"
78;"Aeria";"eurimedia";7,625;-81,625;"EURIMEDIA";"EURIMEDIA";"Panama"
79;"Aeria";"eurimedia";8,875;-80,875;"EURIMEDIA";"EURIMEDIA";"Panama"
80;"Aeria";"eurimedia";10,625;-61,125;"EURIMEDIA";"EURIMEDIA";"Trinidad & Tobago"
81;"Aeria";"eurimedia";10,625;-61,625;"EURIMEDIA";"EURIMEDIA";"Trinidad & Tobago"
84;"Aeria";"eurimedia";10,375;-67,625;"EURIMEDIA";"EURIMEDIA";"Venezuela"
87;"Aeria";"eurimedia";10,125;-68,125;"EURIMEDIA";"EURIMEDIA";"Venezuela"
88;"Aeria";"eurimedia";10,375;-67,875;"EURIMEDIA";"EURIMEDIA";"Venezuela"
89;"Aeria";"eurimedia";10,375;-68,125;"EURIMEDIA";"EURIMEDIA";"Venezuela"
91;"Aeria";"eurimedia";10,125;-67,625;"EURIMEDIA";"EURIMEDIA";"Venezuela"
92;"Aeria";"eurimedia";10,375;-66,875;"EURIMEDIA";"EURIMEDIA";"Venezuela"
93;"Aeria";"eurimedia";9,875;-69,375;"EURIMEDIA";"EURIMEDIA";"Venezuela"
94;"Aeria";"eurimedia";10,875;-63,875;"EURIMEDIA";"EURIMEDIA";"Venezuela"
95;"Aeria";"eurimedia";10,625;-62,125;"EURIMEDIA";"EURIMEDIA";"Venezuela"
96;"Aeria";"eurimedia";10,375;-69,125;"EURIMEDIA";"EURIMEDIA";"Venezuela"
97;"Aeria";"eurimedia";10,625;-66,875;"EURIMEDIA";"EURIMEDIA";"Venezuela"
98;"Aeria";"eurimedia";-2,375;-46,125;"EURIMEDIA";"EURIMEDIA";"Brazil"
99;"Aeria";"eurimedia";-4,375;-56,125;"EURIMEDIA";"EURIMEDIA";"Brazil"
100;"Aeria";"eurimedia";-1,125;-47,625;"EURIMEDIA";"EURIMEDIA";"Brazil"
101;"Aeria";"eurimedia";-4,375;-55,875;"EURIMEDIA";"EURIMEDIA";"Brazil"
102;"Aeria";"eurimedia";-1,875;-55,625;"EURIMEDIA";"EURIMEDIA";"Brazil"
103;"Aeria";"eurimedia";-2,375;-54,625;"EURIMEDIA";"EURIMEDIA";"Brazil"
104;"Aeria";"eurimedia";4,875;-52,375;"EURIMEDIA";"EURIMEDIA";"French Guiana"
105;"Aeria";"eurimedia";4,625;-52,375;"EURIMEDIA";"EURIMEDIA";"French Guiana"
106;"Aeria";"eurimedia";4,125;-52,375;"EURIMEDIA";"EURIMEDIA";"French Guiana"
107;"Aeria";"eurimedia";3,875;-51,875;"EURIMEDIA";"EURIMEDIA";"French Guiana"
108;"Aeria";"eurimedia";3,625;-54,125;"EURIMEDIA";"EURIMEDIA";"French Guiana"
109;"Aeria";"eurimedia";3,875;-53,375;"EURIMEDIA";"EURIMEDIA";"French Guiana"
110;"Aeria";"eurimedia";5,375;-54,125;"EURIMEDIA";"EURIMEDIA";"French Guiana"
111;"Aeria";"eurimedia";6,375;-58,625;"EURIMEDIA";"EURIMEDIA";"Guyana"
112;"Aeria";"eurimedia";5,625;-59,625;"EURIMEDIA";"EURIMEDIA";"Guyana"
113;"Aeria";"eurimedia";5,875;-61,125;"EURIMEDIA";"EURIMEDIA";"Guyana"
114;"Aeria";"eurimedia";5,125;-59,375;"EURIMEDIA";"EURIMEDIA";"Guyana"
115;"Aeria";"eurimedia";5,375;-59,125;"EURIMEDIA";"EURIMEDIA";"Guyana"
116;"Aeria";"eurimedia";5,125;-55,125;"EURIMEDIA";"EURIMEDIA";"Suriname"
117;"Aeria";"eurimedia";5,125;-54,375;"EURIMEDIA";"EURIMEDIA";"Suriname"
118;"Aeria";"eurimedia";5,875;-55,125;"EURIMEDIA";"EURIMEDIA";"Suriname"
119;"Aeria";"eurimedia";6,125;-61,375;"EURIMEDIA";"EURIMEDIA";"Venezuela"
120;"Aeria";"eurimedia";2,875;-78,125;"EURIMEDIA";"EURIMEDIA";"Colombia"
121;"Aeria";"eurimedia";1,625;-78,125;"EURIMEDIA";"EURIMEDIA";"Colombia"
122;"Aeria";"eurimedia";3,625;-76,875;"EURIMEDIA";"EURIMEDIA";"Colombia"
124;"Aeria";"eurimedia";8,375;-83,375;"EURIMEDIA";"EURIMEDIA";"Costa Rica"
125;"Aeria";"eurimedia";7,375;-80,875;"EURIMEDIA";"EURIMEDIA";"Panama"
126;"Aeria";"eurimedia";-3,375;-68,875;"EURIMEDIA";"EURIMEDIA";"Brazil"
127;"Aeria";"eurimedia";-10,625;-62,875;"EURIMEDIA";"EURIMEDIA";"Brazil"
129;"Aeria";"eurimedia";-10,375;-62,875;"EURIMEDIA";"EURIMEDIA";"Brazil"
130;"Aeria";"eurimedia";-1,125;-73,875;"EURIMEDIA";"EURIMEDIA";"Colombia"
