"ID_obs";"Genus";"Species";"Sub.species";"Latitude";"Longitude";"M.mimicry";"F.mimicry";"Country"
1;"Aeria";"elara";"elara";10,125;-68,125;"EURIMEDIA";"EURIMEDIA";"Venezuela"
2;"Aeria";"elara";"elara";9,375;-69,375;"EURIMEDIA";"EURIMEDIA";"Venezuela"
3;"Aeria";"elara";"elara";8,125;-70,625;"EURIMEDIA";"EURIMEDIA";"Venezuela"
4;"Aeria";"elara";"elara";10,375;-68,125;"EURIMEDIA";"EURIMEDIA";"Venezuela"
5;"Aeria";"elara";"elara";10,375;-68,125;"EURIMEDIA";"EURIMEDIA";"Venezuela"
6;"Aeria";"elara";"elara";10,375;-68,125;"EURIMEDIA";"EURIMEDIA";"Venezuela"
7;"Aeria";"elara";"elara";10,125;-67,625;"EURIMEDIA";"EURIMEDIA";"Venezuela"
8;"Aeria";"elara";"elara";10,375;-66,875;"EURIMEDIA";"EURIMEDIA";"Venezuela"
9;"Aeria";"elara";"elarina";-2,375;-46,125;"EURIMEDIA";"EURIMEDIA";"Brazil"
10;"Aeria";"elara";"elarina";-1,125;-46,875;"EURIMEDIA";"EURIMEDIA";"Brazil"
11;"Aeria";"elara";"elarina";4,125;-59,375;"EURIMEDIA";"EURIMEDIA";"Guyana"
12;"Aeria";"elara";"n. ssp. [1]";-14,625;-68,625;"EURIMEDIA";"EURIMEDIA";"Bolivia"
13;"Aeria";"elara";"n. ssp. [1]";-12,375;-68,625;"EURIMEDIA";"EURIMEDIA";"Bolivia"
14;"Aeria";"elara";"n. ssp. [1]";-14,625;-61,125;"EURIMEDIA";"EURIMEDIA";"Bolivia"
15;"Aeria";"elara";"n. ssp. [1]";-13,625;-60,875;"EURIMEDIA";"EURIMEDIA";"Bolivia"
16;"Aeria";"elara";"n. ssp. [1]";-13,625;-61,375;"EURIMEDIA";"EURIMEDIA";"Bolivia"
17;"Aeria";"elara";"n. ssp. [1]";-14,625;-61,875;"EURIMEDIA";"EURIMEDIA";"Bolivia"
18;"Aeria";"elara";"n. ssp. [1]";-17,625;-63,625;"EURIMEDIA";"EURIMEDIA";"Bolivia"
19;"Aeria";"elara";"n. ssp. [1]";-17,125;-64,375;"EURIMEDIA";"EURIMEDIA";"Bolivia"
20;"Aeria";"elara";"n. ssp. [1]";-17,875;-63,375;"EURIMEDIA";"EURIMEDIA";"Bolivia"
21;"Aeria";"elara";"n. ssp. [1]";-16,375;-64,375;"EURIMEDIA";"EURIMEDIA";"Bolivia"
22;"Aeria";"elara";"n. ssp. [1]";-17,625;-64,375;"EURIMEDIA";"EURIMEDIA";"Bolivia"
23;"Aeria";"elara";"n. ssp. [1]";-14,625;-62,875;"EURIMEDIA";"EURIMEDIA";"Bolivia"
24;"Aeria";"elara";"n. ssp. [1]";-13,625;-60,625;"EURIMEDIA";"EURIMEDIA";"Bolivia"
25;"Aeria";"elara";"n. ssp. [1]";-16,625;-63,125;"EURIMEDIA";"EURIMEDIA";"Bolivia"
26;"Aeria";"elara";"n. ssp. [1]";-16,125;-48,125;"EURIMEDIA";"EURIMEDIA";"Brazil"
27;"Aeria";"elara";"n. ssp. [1]";-16,625;-49,375;"EURIMEDIA";"EURIMEDIA";"Brazil"
28;"Aeria";"elara";"n. ssp. [1]";-15,875;-50,125;"EURIMEDIA";"EURIMEDIA";"Brazil"
29;"Aeria";"elara";"n. ssp. [1]";-14,625;-49,375;"EURIMEDIA";"EURIMEDIA";"Brazil"
30;"Aeria";"elara";"n. ssp. [1]";-15,375;-55,875;"EURIMEDIA";"EURIMEDIA";"Brazil"
31;"Aeria";"elara";"n. ssp. [1]";-15,375;-55,875;"EURIMEDIA";"EURIMEDIA";"Brazil"
32;"Aeria";"elara";"n. ssp. [1]";-10,375;-62,875;"EURIMEDIA";"EURIMEDIA";"Brazil"
33;"Aeria";"elara";"n. ssp. [1]";-10,375;-62,875;"EURIMEDIA";"EURIMEDIA";"Brazil"
34;"Aeria";"elara";"n. ssp. [1]";-10,625;-62,875;"EURIMEDIA";"EURIMEDIA";"Brazil"
35;"Aeria";"elara";"n. ssp. [1]";-10,375;-62,625;"EURIMEDIA";"EURIMEDIA";"Brazil"
36;"Aeria";"elara";"n. ssp. [1]";-12,625;-69,125;"EURIMEDIA";"EURIMEDIA";"Peru"
37;"Aeria";"elara";"n. ssp. [3]";9,125;-73,875;"EURIMEDIA";"EURIMEDIA";"Colombia"
