"Genus";"Species";"N_rings";"Mimicry_ring_1";"Mimicry_ring_2";"Mimicry_ring_3";"Mimicry_ring_4";"Mimicry_ring_5";"Mimicry_ring_6";"Mimicry_ring_7";"Mimicry_ring_8"
"Aeria";"elara";1;"EURIMEDIA";;;;;;;
"Aeria";"eurimedia";1;"EURIMEDIA";;;;;;;
"Aeria";"olena";1;"EURIMEDIA";;;;;;;
"Aremfoxia";"ferra";2;"MESTRA";"CONFUSA";;;;;;
"Athesis";"acrisione";2;"ACRISIONE";"CONFUSA";;;;;;
"Athesis";"clearista";1;"DILUCIDA";;;;;;;
"Athesis";"vitrala";1;"HEWITSONI";;;;;;;
"Athyrtis";"mechanitis";2;"HERMIAS";"ORESTES";;;;;;
"Brevioleria";"aelia";4;"ILLINISSA";"LERIDA";"AURELIANA";"SINILIA";;;;
"Brevioleria";"arzalia";2;"AGNOSIA";"AURELIANA";;;;;;
"Brevioleria";"coenina";1;"OZIA";;;;;;;
"Brevioleria";"seba";3;"LERIDA";"AGNOSIA";"AURELIANA";;;;;
"Callithomia";"alexirrhoe";3;"HERMIAS";"MAMERCUS";"MAELUS";;;;;
"Callithomia";"hezia";3;"MAMERCUS";"EXCELSA";"OCNA";;;;;
"Callithomia";"hydra";2;"EXCELSA";"MAMERCUS";;;;;;
"Callithomia";"lenea";5;"MAMERCUS";"DILUCIDA";"HERMIAS";"DOTO";"CONFUSA";;;
"Ceratinia";"cayana";1;"HERMIAS";;;;;;;
"Ceratinia";"iolaia";1;"HERMIAS";;;;;;;
"Ceratinia";"neso";6;"MAMERCUS";"DOTO";"HERMIAS";"DILUCIDA";"MAELUS";"ORESTES";;
"Ceratinia";"poecila";5;"MAMERCUS";"HERMIAS";"ORESTES";"MAELUS";"MOTHONE";;;
"Ceratinia";"tutia";3;"MAMERCUS";"HERMIAS";"MANTINEUS";;;;;
"Dircenna";"adina";8;"AGNOSIA";"OCNA";"OZIA";"LIBETHRIS";"DILUCIDA";"MESTRA";"CONFUSA";"HEWITSONI"
"Dircenna";"dero";4;"CONFUSA";"DILUCIDA";"DOTO";"MAMERCUS";;;;
"Dircenna";"jemina";3;"DILUCIDA";"POLITA";"MAMERCUS";;;;;
"Dircenna";"klugii";1;"DILUCIDA";;;;;;;
"Dircenna";"loreta";1;"CONFUSA";;;;;;;
"Dircenna";"olyras";3;"DILUCIDA";"EXCELSA";"MAMERCUS";;;;;
"Elzunia";"humboldt";2;"HUMBOLDT";"PAVONII";;;;;;
"Elzunia";"pavonii";1;"PAVONII";;;;;;;
"Episcada";"apuleia";2;"HEWITSONI";"PANTHYALE";;;;;;
"Episcada";"clausina";2;"EURIMEDIA";"LIBETHRIS";;;;;;
"Episcada";"doto";2;"DOTO";"EURIMEDIA";;;;;;
